year,id,CO2_mt,co2_cntfc,avoided_CO2,pct_diff,ci_lower_pct,ci_upper_pct
2016,Australia,385.80478,386.44705,.64227295,.16647615,.067148916,.26593786
2017,Australia,388.03076,389.53976,1.5090027,.38888738,.15673624,.62154973
2018,Australia,386.4313,388.79544,2.3641357,.61178678,.24643475,.97844982
2019,Australia,384.02957,388.31195,4.2823792,1.1151171,.44854206,1.7861421
2020,Australia,369.04288,376.0661,7.0232239,1.9030915,.76361161,3.055414
2021,Australia,360.94318,371.08981,10.146637,2.8111453,1.125033,4.5254126
2022,Australia,354.78351,368.00735,13.223846,3.7273002,1.4877064,6.0163283
2016,Austria,61.968094,61.968094,0,0,.000018467716,.000018467716
2017,Austria,64.157669,64.264481,.10681152,.16648287,.067152053,.26594448
2018,Austria,61.30439,61.474583,.17019272,.27761912,.11192504,.44357458
2019,Austria,62.769981,63.049034,.27905273,.44456398,.17914557,.71069342
2020,Austria,57.368492,57.815556,.44706345,.77928394,.31372172,1.2469606
2021,Austria,60.30975,61.321342,1.0115929,1.6773289,.6735236,2.6911469
2022,Austria,56.796661,57.877552,1.0808907,1.9030883,.76362908,3.0554297
2016,Belgium,89.884285,89.984016,.099731445,.11095537,.044748832,.17717041
2017,Belgium,88.557358,88.753983,.19662476,.22203097,.089563631,.35470507
2018,Belgium,89.271515,89.469727,.19821167,.22203238,.089547932,.35468775
2019,Belgium,88.485664,88.682137,.19647217,.22203842,.089541353,.35467345
2020,Belgium,81.381432,81.562126,.18069458,.22203416,.089529902,.35466966
2021,Belgium,85.078186,85.979218,.90103149,1.0590628,.42604637,1.6961148
2022,Belgium,78.814713,79.782013,.96730042,1.2273095,.49345613,1.966545
2016,Canada,536.56232,538.35034,1.7880249,.33323714,.13434137,.53248554
2017,Canada,546.6377,551.50879,4.8710938,.89110094,.3586601,1.4263779
2018,Canada,557.57666,565.67303,8.0963745,1.4520649,.58347058,2.328223
2019,Canada,552.85626,563.37762,10.521362,1.9030918,.7636236,3.0554216
2020,Canada,502.23502,518.93677,16.701752,3.3254852,1.3288622,5.3614287
2021,Canada,508.72638,529.44659,20.720215,4.0729585,1.6240845,6.5808849
2022,Canada,523.33331,548.58856,25.255249,4.8258438,1.920065,7.8144636
2016,Chile,85.258186,85.305473,.047286987,.055463281,.022344597,.088573016
2017,Chile,86.158752,86.254349,.095596313,.11095369,.044779953,.17720711
2018,Chile,85.761726,85.999817,.23809052,.27761862,.11193883,.44359195
2019,Chile,90.98571,91.238304,.25259399,.27761942,.11194331,.44359738
2020,Chile,83.860886,84.420731,.55984497,.6675877,.26885462,1.0678947
2021,Chile,84.963791,85.816017,.85222626,1.0030464,.4035784,1.6060972
2022,Chile,86.586853,87.746796,1.1599426,1.3396291,.53843862,2.1472077
2016,Czech Republic,101.31823,101.31823,0,0,.00002259039,.00002259039
2017,Czech Republic,101.84198,102.01153,.16954803,.16648148,.067137964,.26592988
2018,Czech Republic,100.88625,101.05421,.16795349,.16647807,.067161433,.26594597
2019,Czech Republic,95.756561,95.915977,.1594162,.16648071,.067150004,.26593888
2020,Czech Republic,87.281158,87.426468,.14530945,.16648433,.06713219,.26592389
2021,Czech Republic,92.135033,92.801552,.66651917,.72341555,.29130557,1.1573555
2022,Czech Republic,90.69709,91.606827,.90973663,1.0030494,.40356335,1.6060853
2016,Denmark,33.96262,33.981457,.018836975,.055463847,.022385469,.088553458
2017,Denmark,31.760248,31.830767,.070518494,.22203383,.089523375,.35470641
2018,Denmark,31.758518,31.864349,.10583115,.33323705,.13433142,.53252703
2019,Denmark,28.352734,28.447216,.094482422,.3332392,.13434243,.53253961
2020,Denmark,25.968941,26.273088,.30414772,1.171198,.47098082,1.8762921
2021,Denmark,27.743944,28.224947,.48100281,1.7337219,.69602138,2.7820988
2022,Denmark,26.769297,27.384823,.6155262,2.2993739,.92160064,3.6959574
2016,Estonia,15.712708,15.738867,.026158333,.16647883,.067164488,.26590848
2017,Estonia,16.465473,16.520342,.054868698,.33323488,.13432723,.53252476
2018,Estonia,15.440607,15.500653,.060046196,.38888493,.15675096,.62155628
2019,Estonia,9.7681885,9.8279486,.059760094,.61178279,.24640992,.9784736
2020,Estonia,7.0322242,7.0791702,.046946049,.66758466,.26884973,1.0678927
2021,Estonia,8.3059511,8.4172201,.111269,1.3396298,.53842843,2.1472037
2022,Estonia,9.9184351,10.0848,.16636467,1.6773278,.67353296,2.6911609
2016,Finland,45.179245,45.229374,.050128937,.11095568,.044775736,.17719471
2017,Finland,42.588898,42.707134,.11823654,.27762291,.11192696,.44357863
2018,Finland,43.822136,44.090233,.26809692,.61178422,.24641116,.97847176
2019,Finland,40.694244,41.011368,.31712341,.77928323,.31374931,1.2469825
2020,Finland,36.016216,36.478466,.46224976,1.2834489,.51595968,2.0568061
2021,Finland,35.966164,36.650631,.68446732,1.9030868,.76365721,3.0554032
2022,Finland,34.024986,34.710983,.68599701,2.0161567,.80877221,3.2380149
2016,France,306.26578,307.28638,1.0205994,.33323976,.13438003,.53252798
2017,France,310.67053,312.05167,1.381134,.4445655,.17915429,.71069384
2018,France,300.38217,301.88489,1.5027161,.50026804,.20158646,.79984373
2019,France,293.79276,295.42627,1.6335144,.55600905,.22399499,.88913465
2020,France,260.35513,263.98926,3.6341248,1.3958337,.56093335,2.2376146
