"sector","Dim2","t","n","Val"
"Total_CO2","a","1           ","arg         ",564.822346844655
"Total_CO2","d","1           ","arg         ",5480.241257914922
"Total_CO2","a","1           ","aus         ",593.489375693988
"Total_CO2","d","1           ","aus         ",10306.618959316635
"Total_CO2","a","1           ","aut         ",1047.748399094010
"Total_CO2","d","1           ","aut         ",10428.762581204806
"Total_CO2","a","1           ","bel         ",707.479921210300
"Total_CO2","d","1           ","bel         ",10622.498027196130
"Total_CO2","a","1           ","bgr         ",926.607594742445
"Total_CO2","d","1           ","bgr         ",7821.975071626031
"Total_CO2","a","1           ","blt         ",838.374874753633
"Total_CO2","d","1           ","blt         ",8426.056610052560
"Total_CO2","a","1           ","bra         ",895.216118435918
"Total_CO2","d","1           ","bra         ",16477.997457381643
"Total_CO2","a","1           ","can         ",669.041851080127
"Total_CO2","d","1           ","can         ",5965.948685888111
"Total_CO2","a","1           ","chl         ",766.984381249127
"Total_CO2","d","1           ","chl         ",11147.182183457275
"Total_CO2","a","1           ","chn         ",508.322379086192
"Total_CO2","d","1           ","chn         ",7867.673756927986
"Total_CO2","a","1           ","cor         ",966.461885631051
"Total_CO2","d","1           ","cor         ",13219.665173165293
"Total_CO2","a","1           ","cro         ",1135.483964839478
"Total_CO2","d","1           ","cro         ",12380.763514958944
"Total_CO2","a","1           ","dnk         ",778.323102287338
"Total_CO2","d","1           ","dnk         ",9655.983614292676
"Total_CO2","a","1           ","egy         ",705.265412071355
"Total_CO2","d","1           ","egy         ",9076.052824064875
"Total_CO2","a","1           ","esp         ",1092.233664265695
"Total_CO2","d","1           ","esp         ",13014.478835172244
"Total_CO2","a","1           ","fin         ",817.909279048534
"Total_CO2","d","1           ","fin         ",6886.405754247880
"Total_CO2","a","1           ","fra         ",860.363715136016
"Total_CO2","d","1           ","fra         ",10045.312807232232
"Total_CO2","a","1           ","gbr         ",1024.151954384461
"Total_CO2","d","1           ","gbr         ",12464.389884998578
"Total_CO2","a","1           ","golf57      ",687.217449962939
"Total_CO2","d","1           ","golf57      ",10933.523494099722
"Total_CO2","a","1           ","grc         ",734.940967789126
"Total_CO2","d","1           ","grc         ",18981.539234597367
"Total_CO2","a","1           ","hun         ",889.572005784306
"Total_CO2","d","1           ","hun         ",9077.789835850826
"Total_CO2","a","1           ","idn         ",500.797251017119
"Total_CO2","d","1           ","idn         ",5747.456101716083
"Total_CO2","a","1           ","irl         ",782.669901937052
"Total_CO2","d","1           ","irl         ",14036.292620598115
"Total_CO2","a","1           ","ita         ",1298.442231031617
"Total_CO2","d","1           ","ita         ",20745.197699289143
"Total_CO2","a","1           ","jpn         ",708.908294189981
"Total_CO2","d","1           ","jpn         ",10224.532508812390
"Total_CO2","a","1           ","meme        ",825.583296125297
"Total_CO2","d","1           ","meme        ",14080.599409732640
"Total_CO2","a","1           ","mex         ",948.356090094457
"Total_CO2","d","1           ","mex         ",20505.442689660900
"Total_CO2","a","1           ","mys         ",421.431688873387
"Total_CO2","d","1           ","mys         ",4474.849998358385
"Total_CO2","a","1           ","nde         ",722.519324314968
"Total_CO2","d","1           ","nde         ",10211.112089413076
"Total_CO2","a","1           ","nld         ",1001.167187327767
"Total_CO2","d","1           ","nld         ",14399.251950197162
"Total_CO2","a","1           ","noan        ",505.383996033360
"Total_CO2","d","1           ","noan        ",7741.333804334082
"Total_CO2","a","1           ","noap        ",665.253322421773
"Total_CO2","d","1           ","noap        ",10549.209253051626
"Total_CO2","a","1           ","nor         ",840.489246783836
"Total_CO2","d","1           ","nor         ",6301.234036544422
"Total_CO2","a","1           ","oeu         ",594.267279577675
"Total_CO2","d","1           ","oeu         ",11687.626612404570
"Total_CO2","a","1           ","osea        ",523.471157680150
"Total_CO2","d","1           ","osea        ",8054.591212463203
"Total_CO2","a","1           ","pol         ",636.595202871468
"Total_CO2","d","1           ","pol         ",7698.403687343994
"Total_CO2","a","1           ","prt         ",1176.589190611961
"Total_CO2","d","1           ","prt         ",15751.249357976641
"Total_CO2","a","1           ","rcam        ",911.252551735325
"Total_CO2","d","1           ","rcam        ",12410.034765444420
"Total_CO2","a","1           ","rcz         ",369.501821207590
"Total_CO2","d","1           ","rcz         ",8358.541528729977
"Total_CO2","a","1           ","rfa         ",1221.462492034048
"Total_CO2","d","1           ","rfa         ",16549.078812837502
"Total_CO2","a","1           ","ris         ",402.798421556931
"Total_CO2","d","1           ","ris         ",5203.595947155747
"Total_CO2","a","1           ","rjan57      ",660.720863646508
