n,ssp1_BHM-LR_0.001,ssp1_BHM-LR_0.015,ssp1_BHM-LR_0.03,ssp1_BHM-LRdiff_0.001,ssp1_BHM-LRdiff_0.015,ssp1_BHM-LRdiff_0.03,ssp1_BHM-SR_0.001,ssp1_BHM-SR_0.015,ssp1_BHM-SR_0.03,ssp1_BHM-SRdiff_0.001,ssp1_BHM-SRdiff_0.015,ssp1_BHM-SRdiff_0.03,ssp1_DJO_0.001,ssp1_DJO_0.015,ssp1_DJO_0.03,ssp1_KAHN_0.001,ssp1_KAHN_0.015,ssp1_KAHN_0.03,ssp2_BHM-LR_0.001,ssp2_BHM-LR_0.015,ssp2_BHM-LR_0.03,ssp2_BHM-LRdiff_0.001,ssp2_BHM-LRdiff_0.015,ssp2_BHM-LRdiff_0.03,ssp2_BHM-SR_0.001,ssp2_BHM-SR_0.015,ssp2_BHM-SR_0.03,ssp2_BHM-SRdiff_0.001,ssp2_BHM-SRdiff_0.015,ssp2_BHM-SRdiff_0.03,ssp2_DJO_0.001,ssp2_DJO_0.015,ssp2_DJO_0.03,ssp2_KAHN_0.001,ssp2_KAHN_0.015,ssp2_KAHN_0.03,ssp3_BHM-LR_0.001,ssp3_BHM-LR_0.015,ssp3_BHM-LR_0.03,ssp3_BHM-LRdiff_0.001,ssp3_BHM-LRdiff_0.015,ssp3_BHM-LRdiff_0.03,ssp3_BHM-SR_0.001,ssp3_BHM-SR_0.015,ssp3_BHM-SR_0.03,ssp3_BHM-SRdiff_0.001,ssp3_BHM-SRdiff_0.015,ssp3_BHM-SRdiff_0.03,ssp3_DJO_0.001,ssp3_DJO_0.015,ssp3_DJO_0.03,ssp3_KAHN_0.001,ssp3_KAHN_0.015,ssp3_KAHN_0.03,ssp4_BHM-LR_0.001,ssp4_BHM-LR_0.015,ssp4_BHM-LR_0.03,ssp4_BHM-LRdiff_0.001,ssp4_BHM-LRdiff_0.015,ssp4_BHM-LRdiff_0.03,ssp4_BHM-SR_0.001,ssp4_BHM-SR_0.015,ssp4_BHM-SR_0.03,ssp4_BHM-SRdiff_0.001,ssp4_BHM-SRdiff_0.015,ssp4_BHM-SRdiff_0.03,ssp4_DJO_0.001,ssp4_DJO_0.015,ssp4_DJO_0.03,ssp4_KAHN_0.001,ssp4_KAHN_0.015,ssp4_KAHN_0.03,ssp5_BHM-LR_0.001,ssp5_BHM-LR_0.015,ssp5_BHM-LR_0.03,ssp5_BHM-LRdiff_0.001,ssp5_BHM-LRdiff_0.015,ssp5_BHM-LRdiff_0.03,ssp5_BHM-SR_0.001,ssp5_BHM-SR_0.015,ssp5_BHM-SR_0.03,ssp5_BHM-SRdiff_0.001,ssp5_BHM-SRdiff_0.015,ssp5_BHM-SRdiff_0.03,ssp5_DJO_0.001,ssp5_DJO_0.015,ssp5_DJO_0.03,ssp5_KAHN_0.001,ssp5_KAHN_0.015,ssp5_KAHN_0.03,policy_int_cntfc
arg,0.161283066,0.16453365,0.165615125,0.161283066,0.164447169,0.165745497,0.161283066,0.164926449,0.16575948,0.163150207,0.165516816,0.165991001,0.161283066,0.161772194,0.164797496,0.161432129,0.163259288,0.164360737,0.180959926,0.183644784,0.185586506,0.180959926,0.180959926,0.185117426,0.180959926,0.184242655,0.185790966,0.180959926,0.184980105,0.186072404,0.180959926,0.180959926,0.184094521,0.18118027,0.182740591,0.184076918,0.181123218,0.181262938,0.184976235,0.181123218,0.181123218,0.182810474,0.181123218,0.182291977,0.185335166,0.181123218,0.183479412,0.185753872,0.181123218,0.181123218,0.181981079,0.181123218,0.181837606,0.18340762,0.196599148,0.200235656,0.201788506,0.196599148,0.197030068,0.200870375,0.196599148,0.20076676,0.201980338,0.197605035,0.201369229,0.202200679,0.196599148,0.196599148,0.20059233,0.196793013,0.198774225,0.200156072,0.174719352,0.178449465,0.17951488,0.174719352,0.178672907,0.179701546,0.174719352,0.178749355,0.179637831,0.176573299,0.179388062,0.179866812,0.174719352,0.174825349,0.178622719,0.176095804,0.177329648,0.17829575,
aus,0.364100217,0.364100217,0.370184446,0.364100217,0.36978457,0.373173221,0.364100217,0.364907745,0.371488488,0.364100217,0.370442977,0.373460301,0.375361048,0.375361048,0.375361048,0.364100217,0.364100217,0.364100217,0.395957543,0.395957543,0.401992767,0.395957543,0.401703886,0.405693136,0.395957543,0.395957543,0.403478725,0.395957543,0.402060669,0.405959603,0.408203652,0.408203652,0.408203652,0.395957543,0.395957543,0.395957543,0.401141794,0.401141794,0.408934029,0.401141794,0.408777417,0.411641596,0.401141794,0.403476658,0.410049754,0.401141794,0.409082105,0.411863525,0.413548242,0.413548242,0.413548242,0.401141794,0.401141794,0.401705351,0.394568285,0.394568285,0.401894452,0.394568285,0.401664158,0.404733224,0.394568285,0.396632101,0.403095923,0.394568285,0.402152122,0.404982336,0.406771428,0.406771428,0.406771428,0.394568285,0.394568285,0.394568285,0.412173703,0.412173703,0.417502969,0.412173703,0.417594711,0.422095284,0.412173703,0.412173703,0.419085607,0.412173703,0.417475213,0.422282674,0.424921343,0.424921343,0.424921343,0.412173703,0.412173703,0.412173703,10.556829
aut,0.06423887,0.064778935,0.064925244,0.064639733,0.06490071,0.064967964,0.065011958,0.065011958,0.065011958,0.065011958,0.065011958,0.065011958,0.065011958,0.065011958,0.065011958,0.064289746,0.064514097,0.064682311,0.065712523,0.066304161,0.066476718,0.066180323,0.06645126,0.066522268,0.066566069,0.066566069,0.066566069,0.066566069,0.066566069,0.066566069,0.066566069,0.066566069,0.066566069,0.065919736,0.066078115,0.066237029,0.067210893,0.067729296,0.06784901,0.067619453,0.067833896,0.067883352,0.067917874,0.067917874,0.067917874,0.067917874,0.067917874,0.067917874,0.067917874,0.067917874,0.067917874,0.067312256,0.067482249,0.067626958,0.066322599,0.066833874,0.066959006,0.066714074,0.066941418,0.066996004,0.067033662,0.067033662,0.067033662,0.067033662,0.067033662,0.067033662,0.067033662,0.067033662,0.067033662,0.066376559,0.066574925,0.066728693,0.068712239,0.069350925,0.069583654,0.069261037,0.069555882,0.06964393,0.069696246,0.069696246,0.069696246,0.069696246,0.069696246,0.069696246,0.069696246,0.069696246,0.069696246,0.069089261,0.069173515,0.069324376,3.4974985
bel,0.094629744,0.095583889,0.095862021,0.095358801,0.09581615,0.095940737,0.096015642,0.096015642,0.096015642,0.096015642,0.096015642,0.096015642,0.096015642,0.096015642,0.096015642,0.094880462,0.095241225,0.095514207,0.096942706,0.097940656,0.098254002,0.097750528,0.098208586,0.0983362,0.098409827,0.098409827,0.098409827,0.098409827,0.098409827,0.098409827,0.098409827,0.098409827,0.098409827,0.097415111,0.097662912,0.097915061,0.099319437,0.100206185,0.100423821,0.100028859,0.100397249,0.10048564,0.100543396,0.100543396,0.100543396,0.100543396,0.100543396,0.100543396,0.100543396,0.100543396,0.100543396,0.09960729,0.099876158,0.100105544,0.097685902,0.098536299,0.098748028,0.09834765,0.098720523,0.098811044,0.098870922,0.098870922,0.098870922,0.098870922,0.098870922,0.098870922,0.098870922,0.098870922,0.098870922,0.097869745,0.098185418,0.098423055,0.101392752,0.102438682,0.10284891,0.10044525,0.102148531,0.102912415,0.103046607,0.103046607,0.103046607,0.103046607,0.103046607,0.103046607,0.103046607,0.103046607,0.103046607,0.10211629,0.1022451,0.102481809,1.7337208
bgr,0.042646004,0.042896392,0.042949397,0.041919462,0.042737475,0.042924196,0.042970096,0.042977858,0.042979193,0.042979342,0.042979342,0.042979342,0.041689962,0.04259288,0.042879825,0.042691036,0.042801603,0.042867,0.044892872,0.045250747,0.045345254,0.044024132,0.044856749,0.045247371,0.045353504,0.045380378,0.04538475,0.045385703,0.045385703,0.045385703,0.044162241,0.044860735,0.045238132,0.04508251,0.045177527,0.04525303,0.045944064,0.046352704,0.046520765,0.045185918,0.045758749,0.046314087,0.046524004,0.046571768,0.04658133,0.046583421,0.046583421,0.046583421,0.045243245,0.045789324,0.04633449,0.04625089,0.046328814,0.046420763,0.04572341,0.046015451,0.046077065,0.044726501,0.045660096,0.045987724,0.046091995,0.04610715,0.046109394,0.046109795,0.046109795,0.046109795,0.044747168,0.045690502,0.045997803,0.045809688,0.045916742,0.045986087,0.045873778,0.046168234,0.0462336,0.045456186,0.046069676,0.04621586,0.046237944,0.046260628,0.046263966,0.046264853,0.046264853,0.046264853,0.045525334,0.045957914,0.046158073,0.046010532,0.046086528,0.04614887,
blt,0.037121395,0.03723431,0.037259038,0.036447954,0.03703512,0.03723125,0.037273255,0.037273255,0.037273255,0.037273255,0.037273255,0.037273255,0.037273255,0.037273255,0.037273255,0.037105414,0.03716723,0.037205568,0.039274022,0.039426386,0.039465169,0.038843188,0.039304725,0.03945434,0.039482799,0.039482799,0.039482799,0.039482799,0.039482799,0.039482799,0.039482799,0.039482799,0.039482799,0.039313654,0.039364064,0.039406324,0.040328541,0.040508309,0.040571311,0.040468693,0.040558089,0.040583945,0.040596168,0.040596168,0.040596168,0.040596168,0.040596168,0.040596168,0.040596168,0.040596168,0.040596168,0.04041445,0.040456364,0.040505753,0.03989382,0.040015507,0.040040892,0.039491098,0.0399517,0.040042572,0.04005511,0.04005511,0.04005511,0.04005511,0.04005511,0.04005511,0.04005511,0.04005511,0.04005511,0.039887681,0.039946096,0.039984756,0.040559205,0.040702506,0.040736514,0.040220403,0.040566658,0.040706323,0.040751962,0.040751962,0.040751962,0.040751962,0.040751962,0.040751962,0.040751962,0.040751962,0.040751962,0.040603612,0.040643251,0.040680804,
bra,0.55385724,0.55385724,0.562329164,0.55385724,0.55385724,0.558203459,0.55385724,0.55385724,0.558803,0.55385724,0.55385724,0.556945016,0.55385724,0.55385724,0.55385724,0.55385724,0.55385724,0.55385724,0.567257749,0.567257749,0.572097338,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.567257749,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.628452039,0.597613091,0.597613091,0.605790643,0.597613091,0.597613091,0.600753264,0.597613091,0.597613091,0.601180942,0.597613091,0.597613091,0.598484911,0.597613091,0.597613091,0.597613091,0.597613091,0.597613091,0.597613091,0.548969567,0.548969567,0.558204463,0.548969567,0.548969567,0.555033738,0.548969567,0.548969567,0.554098448,0.548969567,0.548969567,0.552325977,0.548969567,0.548969567,0.54973005,0.548969567,0.548969567,0.548969567,3.1537576
can,0.558067362,0.558067362,0.568526319,0.558067362,0.565898987,0.571742426,0.575327177,0.575327177,0.575327177,0.575327177,0.575327177,0.575327177,0.575327177,0.575327177,0.575327177,0.558067362,0.558067362,0.558067362,0.566701576,0.566701576,0.576910472,0.566701576,0.574193481,0.580570735,0.584228429,0.584228429,0.584228429,0.584228429,0.584228429,0.584228429,0.584228429,0.584228429,0.584228429,0.566701576,0.566701576,0.566701576,0.609845491,0.613839193,0.623746341,0.609845491,0.62201267,0.626146308,0.628706692,0.628706692,0.628706692,0.628706692,0.628706692,0.628706692,0.628706692,0.628706692,0.628706692,0.609845491,0.609845491,0.609845491,0.59190714,0.593341336,0.60429704,0.59190714,0.602224549,0.607128465,0.610213547,0.610213547,0.610213547,0.610213547,0.610213547,0.610213547,0.610213547,0.610213547,0.610213547,0.59190714,0.59190714,0.59190714,0.586236594,0.586236594,0.595009972,0.586236594,0.592246031,0.600029359,0.604367623,0.604367623,0.604367623,0.604367623,0.604367623,0.604367623,0.604367623,0.604367623,0.604367623,0.586236594,0.586236594,0.586236594,8.5523043
chl,0.08047744,0.080996827,0.081116809,0.080671651,0.080983701,0.081084196,0.081112421,0.081177874,0.081193096,0.081204087,0.081204087,0.081204087,0.078826036,0.080573123,0.080976036,0.0804483,0.080713111,0.08088231,0.089771332,0.090586101,0.090794411,0.090158382,0.090613044,0.0907605,0.090739543,0.090870343,0.090899089,0.090915485,0.090915485,0.090915485,0.088188021,0.089571597,0.090554969,0.090070015,0.090309693,0.09051193,0.088843139,0.089829463,0.090215646,0.087693187,0.088210193,0.089774048,0.090120175,0.090321253,0.090378751,0.090405347,0.090405347,0.090405347,0.087693187,0.088186564,0.089786682,0.089497076,0.089670451,0.089906365,0.084712385,0.085333384,0.085476476,0.084349949,0.085110488,0.085368546,0.085454169,0.085542305,0.085561412,0.085574195,0.085574195,0.085574195,0.08300697,0.084733987,0.085307481,0.084783163,0.085037545,0.085217669,0.087558032,0.08810776,0.088230258,0.087804932,0.088101014,0.088196984,0.088201194,0.08828599,0.088303381,0.088315253,0.088315253,0.088315253,0.086033957,0.087558861,0.088072411,0.087650425,0.087837365,0.087993624,2.1859903
chn,11.51473127,11.51473127,11.51473127,11.51473127,11.51473127,11.51473127,11.51473127,11.51473127,11.63949584,11.87085698,11.87085698,11.87085698,11.51473127,11.51473127,11.51473127,11.51473127,11.51473127,11.51473127,12.73134101,12.73134101,12.73134101,12.73134101,12.73134101,12.73134101,12.73134101,12.73134101,12.79201787,13.12509383,13.12509383,13.12509383,12.73134101,12.73134101,12.73134101,12.73134101,12.73134101,12.73134101,13.20200903,13.20200903,13.20200903,13.20200903,13.20200903,13.20200903,13.20200903,13.20200903,13.20200903,13.61031859,13.61031859,13.61031859,13.20200903,13.20200903,13.20200903,13.20200903,13.20200903,13.20200903,12.23550165,12.23550165,12.23550165,12.23550165,12.23550165,12.23550165,12.23550165,12.23550165,12.36417074,12.61391923,12.61391923,12.61391923,12.23550165,12.23550165,12.23550165,12.23550165,12.23550165,12.23550165,12.69504183,12.69504183,12.69504183,12.69504183,12.69504183,12.69504183,12.69504183,12.69504183,12.82488688,12.99956439,13.05606783,13.08296218,12.69504183,12.69504183,12.69504183,12.69504183,12.69504183,12.69504183,13.287224
