n,ssp1_BHM-LR_0.001,ssp1_BHM-LR_0.015,ssp1_BHM-LR_0.03,ssp1_BHM-LRdiff_0.001,ssp1_BHM-LRdiff_0.015,ssp1_BHM-LRdiff_0.03,ssp1_BHM-SR_0.001,ssp1_BHM-SR_0.015,ssp1_BHM-SR_0.03,ssp1_BHM-SRdiff_0.001,ssp1_BHM-SRdiff_0.015,ssp1_BHM-SRdiff_0.03,ssp1_DJO_0.001,ssp1_DJO_0.015,ssp1_DJO_0.03,ssp1_KAHN_0.001,ssp1_KAHN_0.015,ssp1_KAHN_0.03,ssp2_BHM-LR_0.001,ssp2_BHM-LR_0.015,ssp2_BHM-LR_0.03,ssp2_BHM-LRdiff_0.001,ssp2_BHM-LRdiff_0.015,ssp2_BHM-LRdiff_0.03,ssp2_BHM-SR_0.001,ssp2_BHM-SR_0.015,ssp2_BHM-SR_0.03,ssp2_BHM-SRdiff_0.001,ssp2_BHM-SRdiff_0.015,ssp2_BHM-SRdiff_0.03,ssp2_DJO_0.001,ssp2_DJO_0.015,ssp2_DJO_0.03,ssp2_KAHN_0.001,ssp2_KAHN_0.015,ssp2_KAHN_0.03,ssp3_BHM-LR_0.001,ssp3_BHM-LR_0.015,ssp3_BHM-LR_0.03,ssp3_BHM-LRdiff_0.001,ssp3_BHM-LRdiff_0.015,ssp3_BHM-LRdiff_0.03,ssp3_BHM-SR_0.001,ssp3_BHM-SR_0.015,ssp3_BHM-SR_0.03,ssp3_BHM-SRdiff_0.001,ssp3_BHM-SRdiff_0.015,ssp3_BHM-SRdiff_0.03,ssp3_DJO_0.001,ssp3_DJO_0.015,ssp3_DJO_0.03,ssp3_KAHN_0.001,ssp3_KAHN_0.015,ssp3_KAHN_0.03,ssp4_BHM-LR_0.001,ssp4_BHM-LR_0.015,ssp4_BHM-LR_0.03,ssp4_BHM-LRdiff_0.001,ssp4_BHM-LRdiff_0.015,ssp4_BHM-LRdiff_0.03,ssp4_BHM-SR_0.001,ssp4_BHM-SR_0.015,ssp4_BHM-SR_0.03,ssp4_BHM-SRdiff_0.001,ssp4_BHM-SRdiff_0.015,ssp4_BHM-SRdiff_0.03,ssp4_DJO_0.001,ssp4_DJO_0.015,ssp4_DJO_0.03,ssp4_KAHN_0.001,ssp4_KAHN_0.015,ssp4_KAHN_0.03,ssp5_BHM-LR_0.001,ssp5_BHM-LR_0.015,ssp5_BHM-LR_0.03,ssp5_BHM-LRdiff_0.001,ssp5_BHM-LRdiff_0.015,ssp5_BHM-LRdiff_0.03,ssp5_BHM-SR_0.001,ssp5_BHM-SR_0.015,ssp5_BHM-SR_0.03,ssp5_BHM-SRdiff_0.001,ssp5_BHM-SRdiff_0.015,ssp5_BHM-SRdiff_0.03,ssp5_DJO_0.001,ssp5_DJO_0.015,ssp5_DJO_0.03,ssp5_KAHN_0.001,ssp5_KAHN_0.015,ssp5_KAHN_0.03
arg,0.156327635,0.161546652,0.162778098,0.153356631,0.161521623,0.16299328,0.157912813,0.162007001,0.162961206,0.160082472,0.162717221,0.163262619,0.145407298,0.15834394,0.161769842,0.15800386,0.159911292,0.161054903,0.189936798,0.197878677,0.200252352,0.178573926,0.193726297,0.199341948,0.191989584,0.198613898,0.200523436,0.194181657,0.199497962,0.200879479,0.17370531,0.1899883,0.198293381,0.194788511,0.196562478,0.198062339,0.182178662,0.190176241,0.194415152,0.16950869,0.181727589,0.191702765,0.184435679,0.191349151,0.194852699,0.187045413,0.192714707,0.195367043,0.167105512,0.178569602,0.190765024,0.189502735,0.190570513,0.192275191,0.225394979,0.233565509,0.235607184,0.211854586,0.229176786,0.234268197,0.227670174,0.234276408,0.235883382,0.230243147,0.23508696,0.236201033,0.207431591,0.227413027,0.23391789,0.228961224,0.231387019,0.233050115,0.187014648,0.192930127,0.194292486,0.185374973,0.193071672,0.194432972,0.188147901,0.193317766,0.1944678,0.190670165,0.194164112,0.194791298,0.176346644,0.188289559,0.19305041,0.189857709,0.191270717,0.192375825
aus,0.307205746,0.333022178,0.342092239,0.330395554,0.341767144,0.345249134,0.316372715,0.336665431,0.343447262,0.332305997,0.342428564,0.345544085,0.347655108,0.347654995,0.347654901,0.321695,0.328709057,0.334512004,0.358276463,0.388099742,0.400778982,0.387549349,0.400578254,0.404950997,0.3672453,0.392441153,0.402409766,0.388239175,0.400926341,0.405234233,0.407886235,0.407886104,0.407885993,0.381480199,0.386300842,0.39232173,0.375597615,0.404698709,0.414072742,0.402866392,0.414009917,0.417146123,0.383747665,0.408020524,0.41531282,0.402950501,0.414310174,0.417390242,0.419416035,0.4194159,0.419415786,0.394638907,0.400249567,0.405908722,0.365587297,0.394907278,0.404472832,0.392376143,0.40431702,0.407739892,0.37489771,0.398561763,0.405828331,0.393550237,0.404834281,0.40801614,0.41019128,0.410191148,0.410191036,0.382921906,0.389870769,0.395973565,0.389562401,0.42150508,0.438198145,0.424254413,0.438479073,0.443803591,0.397442891,0.425608765,0.440036995,0.423571936,0.438240093,0.443989156,0.447348361,0.447348216,0.447348094,0.421024027,0.423481251,0.429181712
aut,0.061375871,0.061930429,0.062082306,0.061802034,0.062071729,0.06214161,0.062237769,0.062237731,0.062237699,0.06223144,0.062231409,0.062231384,0.062224864,0.062224842,0.062224823,0.061194244,0.061421119,0.061581341,0.064029795,0.064642616,0.064824874,0.064530878,0.064813692,0.064888563,0.064987151,0.064987111,0.064987078,0.064980559,0.064980527,0.064980501,0.06497371,0.064973687,0.064973668,0.063991744,0.06415927,0.064313503,0.066743969,0.067287043,0.067414451,0.067188302,0.067414374,0.0674666,0.067556884,0.067556843,0.067556808,0.067550099,0.067550067,0.067550039,0.06754305,0.067543026,0.067543006,0.066594082,0.066771168,0.066909873,0.06579291,0.066337609,0.06647273,0.066225844,0.066469677,0.066528424,0.066622576,0.066622535,0.066622501,0.066615833,0.066615801,0.066615774,0.066608827,0.066608804,0.066608784,0.065599661,0.065806998,0.065957422,0.071011937,0.071723968,0.071989093,0.071645068,0.071976059,0.072076191,0.072194702,0.072194658,0.07219462,0.072187307,0.072187272,0.072187242,0.072179624,0.072179599,0.072179577,0.071138158,0.071242067,0.071402655
bel,0.096977035,0.09800486,0.098310621,0.097781964,0.098277871,0.098415199,0.09853529,0.098535266,0.098535246,0.098534066,0.098534044,0.098534026,0.098536962,0.098536936,0.098536914,0.097018448,0.097404769,0.097685374,0.101717946,0.102808701,0.103160944,0.102623983,0.103128764,0.103272383,0.1033944,0.103394375,0.103394354,0.103393119,0.103393096,0.103393077,0.103396151,0.103396123,0.1033961,0.101985952,0.102261739,0.102526286,0.105971446,0.106950495,0.10719714,0.106776139,0.107185853,0.10728552,0.107390345,0.107390319,0.107390297,0.107389028,0.107389004,0.107388984,0.107392145,0.107392117,0.107392093,0.106039435,0.106335564,0.10657405,0.103626886,0.104575823,0.104817065,0.104385117,0.104804169,0.10490711,0.105014342,0.105014317,0.105014296,0.105013046,0.105013023,0.105013003,0.105016115,0.105016087,0.105016063,0.103591794,0.103938895,0.104188131,0.112105831,0.113324207,0.1138138,0.110947327,0.112953961,0.113904105,0.114116903,0.114116875,0.114116852,0.114115474,0.114115449,0.114115427,0.114118856,0.114118825,0.114118799,0.112659369,0.112822503,0.113090028
bgr,0.037110743,0.037371045,0.037429366,0.03634711,0.037152589,0.0373524,0.037497496,0.037506669,0.037508536,0.037548221,0.037548152,0.037548094,0.036044524,0.036994336,0.037301967,0.036921915,0.037025534,0.037086614,0.040315551,0.040678984,0.040782823,0.039300313,0.04021033,0.040615178,0.040840772,0.040871269,0.040876906,0.040921168,0.040921092,0.040921029,0.039556366,0.040219967,0.040609492,0.040247918,0.040338072,0.040409088,0.04128835,0.041685264,0.041861318,0.040406861,0.04103844,0.041577159,0.041916529,0.041967602,0.041979119,0.042026016,0.042025938,0.042025873,0.040571905,0.041074733,0.041605259,0.041318699,0.041392087,0.041477366,0.041635961,0.041943114,0.042011747,0.040348082,0.041498471,0.041848918,0.042078163,0.042096055,0.042099106,0.042143768,0.042143691,0.042143625,0.040609766,0.041537378,0.041867308,0.041461292,0.041564119,0.041629634,0.044092258,0.044432783,0.044514972,0.043591999,0.04426067,0.044433972,0.044573296,0.044603156,0.04460815,0.044656606,0.044656524,0.044656455,0.043671866,0.044127869,0.044360542,0.043963742,0.044042469,0.044107731
blt,0.036554991,0.036680547,0.036709129,0.035796937,0.036437857,0.036675902,0.036766455,0.036766419,0.036766389,0.036760328,0.036760302,0.036760279,0.036751684,0.03675167,0.036751659,0.036403358,0.036467563,0.036506334,0.040403018,0.040574509,0.040620696,0.039909916,0.040426948,0.040611328,0.040686948,0.040686908,0.040686874,0.040680176,0.040680147,0.040680122,0.040670622,0.040670607,0.040670594,0.040296215,0.040351253,0.040395618,0.041944783,0.042143359,0.042217155,0.042109813,0.042209763,0.042240171,0.04229398,0.042293939,0.042293904,0.042286942,0.042286911,0.042286885,0.042277012,0.042276996,0.042276983,0.04188015,0.041926986,0.0419794,0.041739683,0.041881384,0.041912096,0.041268639,0.04180289,0.041920557,0.041975576,0.041975535,0.0419755,0.04196861,0.041968579,0.041968553,0.041958781,0.041958765,0.041958752,0.041579464,0.041643408,0.041684142,0.044401739,0.044578508,0.044623402,0.043975225,0.044395432,0.044582837,0.044693561,0.044693518,0.044693481,0.044686106,0.044686073,0.044686046,0.044675587,0.04467557,0.044675556,0.044288842,0.044335464,0.044378295
bra,0.514891329,0.580950426,0.597785937,0.480814244,0.565853484,0.592722371,0.479112817,0.565559905,0.593330737,0.468274683,0.554228584,0.590926153,0.468157385,0.545253823,0.587055516,0.544221594,0.566712448,0.580733665,0.496664169,0.574635594,0.605739247,0.477893699,0.547617184,0.597679039,0.4779519,0.535906633,0.596656903,0.477936018,0.522477721,0.591132444,0.47781583,0.514317581,0.587225591,0.553054523,0.571628058,0.587559458,0.572604375,0.636029876,0.707387421,0.572467772,0.593253824,0.686187395,0.572537768,0.580301358,0.680771282,0.572518667,0.572519627,0.665429978,0.57237412,0.572375415,0.659410287,0.655348825,0.668427988,0.690882352,0.576636069,0.655328381,0.676249754,0.535993329,0.635212205,0.66999903,0.530316183,0.631824462,0.670316097,0.530298634,0.612106945,0.666739549,0.530165838,0.602253614,0.6622409,0.617397383,0.640083294,0.655896196,0.509194144,0.579747115,0.598622412,0.514265385,0.574978656,0.594740292,0.468289266,0.557989559,0.593148238,0.46827376,0.55119225,0.590807871,0.474816092,0.54691794,0.587766605,0.555497481,0.571031395,0.583018269
can,0.520399166,0.557861122,0.570635502,0.547829524,0.568028849,0.574166438,0.578767025,0.578766009,0.578765151,0.57860525,0.5786045,0.578603866,0.578371429,0.578371064,0.578370756,0.525790113,0.539231104,0.550757579,0.537655365,0.577424921,0.593644862,0.569857189,0.590912071,0.597813773,0.602662095,0.602661038,0.602660145,0.602493954,0.602493173,0.602492514,0.602250933,0.602250553,0.602250232,0.554707296,0.56281424,0.573553956,0.637497067,0.679956594,0.691488731,0.670270966,0.68965988,0.694445607,0.698378953,0.698377731,0.6983767,0.698186859,0.698185957,0.698185196,0.697909221,0.697908783,0.697908412,0.648775154,0.660665354,0.671659678,0.597699728,0.638650825,0.65106884,0.628568611,0.648897984,0.654449328,0.65887703,0.658875875,0.658874899,0.658693808,0.658692955,0.658692235,0.658428989,0.658428574,0.658428224,0.605177774,0.618348077,0.63004328,0.573838458,0.615259876,0.637782286,0.612171037,0.634935709,0.643835932,0.649780174,0.64977903,0.649778063,0.649596326,0.649595482,0.649594768,0.6493306,0.64933019,0.649329843,0.603651923,0.606646405,0.615996358
chl,0.080192371,0.080813629,0.080958233,0.080492835,0.080827354,0.080927636,0.080962614,0.081042987,0.081062069,0.081088498,0.081088481,0.081088467,0.0782349,0.080285246,0.080772585,0.080110758,0.080416698,0.080606612,0.098188023,0.09923165,0.09950498,0.098784696,0.099314142,0.099476249,0.099443131,0.099616332,0.099655699,0.099693853,0.099693832,0.099693814,0.09483537,0.097881143,0.099167434,0.098501464,0.098808332,0.099056111,0.09430012,0.095493499,0.095973054,0.090873688,0.09348251,0.095391554,0.095866734,0.096117041,0.096191451,0.096241933,0.096241913,0.096241896,0.091070716,0.093455582,0.095407814,0.095009527,0.095230376,0.095512383,0.087009927,0.0877585,0.087932602,0.086520038,0.087429372,0.087749159,0.087913762,0.088023332,0.088047581,0.088077439,0.08807742,0.088077405,0.0844252,0.087007373,0.087709918,0.087041651,0.087342418,0.087546579,0.096369073,0.09710332,0.097269361,0.096777587,0.097127093,0.097232761,0.097238864,0.097356899,0.097381714,0.097413905,0.097413885,0.097413867,0.094411012,0.096342166,0.097034517,0.096429655,0.09667023,0.096864872
chn,9.897309536,9.89731742,10.0906276,9.873255247,9.873274006,10.8207571,9.915585601,11.88826824,12.45652884,12.89747232,12.89746288,12.89745492,9.875493882,9.875511626,9.8755266,9.778395865,9.778458121,9.778510657,11.60737738,11.60738668,11.60739453,11.57918789,11.57921002,11.57922869,11.62879593,13.4961868,14.49205406,15.12588378,15.12587265,15.12586325,11.58181133,11.58183226,11.58184993,11.46803045,11.46810387,11.46816583,12.16400263,12.1640124,12.16402065,12.13446009,12.13448334,12.13450296,12.18644953,12.88266526,14.82720588,15.85124357,15.85123188,15.85122201,12.13720943,12.13723143,12.13724999,12.01797175,12.0180489,12.018114,10.78025473,10.78026337,11.18586183,10.75411903,10.75413959,11.20843892,10.8001129,13.00590704,13.58903113,14.04795385,14.0479435,14.04793477,10.75655133,10.75657078,10.75658719,10.65106168,10.65112991,10.6511875,12.42896333,12.42897319,12.77586121,12.3987043,12.39872774,13.61682906,12.45195302,14.723182,15.58898795,15.91909146,16.06179098,16.14122843,12.40152043,12.4015426,12.4015613,12.27936653,12.27944431,12.27950994
